Title,Link,Abstract,Author,BibTex,Year,Journal,SupplementalLink,Tags,
Cardinal features of involuntary force variability can arise from the closed-loop control of viscoelastic afferented muscles,Papers/nagamori_plos_2018.pdf,"Author summary Involuntary fluctuations in muscle force are an unavoidable consequence of human motor control and underlie movement execution errors. Amplification and distortion of involuntary force variability are common phenomena found in various neurological conditions and in fatigue. However, the underlying mechanisms for this are often unclear. We investigated the generation and modulation of involuntary force variability arising from different sources, as well as their interactions. We used a closed-loop simulation which included a physiologically-grounded model of an afferented musculotendon and an error-controller. We show that interactions among neural noise, musculotendon mechanics, proprioceptive feedback, and error correction are critical components of force control, and by taking these into account, our model was able to both replicate and explain many cardinal features of involuntary force variability previously reported experimentally. Also, our results suggest previously unrecognized pathways through which force variability may be altered in fatigue and in certain neurological diseases. Finally, we emphasize the potential for important clinical and scientific information to be extracted from relatively simple, non-invasive measurements of force.","Nagamori A, Laine CM, Valero-Cuevas FJ.","@Article{nagamori2018cardinal,
title={Cardinal features of involuntary force variability can arise from the closed-loop control of viscoelastic afferented muscles},
author={Nagamori, Akira and Laine, Christopher M and Valero-Cuevas, Francisco J},
journal={PLOS Computational Biology},
volume={14},
issue = {1},
year={2018}
}",2018,PLOS Computational Biology,,computation_and_modeling,
The neural control of movement must contend with trajectory-specific and nonlinearly distorted manifolds of afferent muscle spindle activity,Papers/BerryIJCNN17.pdf,"We introduce the concept of trajectory-specific sensory manifolds. They are the unique multidimensional and time-varying combinations of afferent signals that obligatorily emerge during a limb movement. We use the example of muscle spindles (i.e., the muscle&#39;s proprioceptors for length and velocity) that arise during movements of an arm (a planar 2-DOF 6-muscle model) during the production of straight, curved and oscillatory hand movements. Through the use of parallel coordinates, we visualize the high-dimensional evolution of the afferent signaling across muscles and tasks. We demonstrate that a given movement gives rise to a distinct sensory manifold embedded in the 12-D space of spindle information that is largely independent of the choice of muscle coordination strategy. Given that muscle lengths and velocities are fully determined by joint kinematics, such manifolds provide a rich set of information to use in its control.","Berry JA, Ritter R, Nagamori A, Valero-Cuevas, FJ.","@inproceedings{berry2017neural,
title={The neural control of movement must contend with trajectory-specific and nonlinearly distorted manifolds of afferent muscle spindle activity},
author={Berry, Jasmine A and Ritter, Robert and Nagamori, Akira and Valero-Cuevas, Francisco J},
booktitle={Neural Networks (IJCNN), 2017 International Joint Conference on},
pages={1188--1194},
year={2017},
organization={IEEE}
}",2017,IEEE International Joint Conference on Neural Networks (IJCNN) 2017,,computation_and_modeling,
Sex differences in leg dexterity are not present in elite athletes,Papers/BM8372.pdf,"We studied whether the time-varying forces that control unstable foot–ground interactions provide insight into the neural control of dynamic leg function. Twenty elite (10 F, 26.4 ± 3.5 yrs) and 20 recreational (10 F, 24.8 ± 2.4 yrs) athletes used an isolated leg to maximally compress a slender spring designed to buckle at low forces while seated. The foot forces during the compression at the edge of instability quantify the maximal sensorimotor ability to control dynamic foot–ground interactions. Using the nonlinear analysis technique of attractor reconstruction, we characterized the spatial (interquartile range IQR) and geometric (trajectory length TL, volume V, and sum of edge lengths SE) features of the dynamical behavior of those force time series. ANOVA confirmed the already published effect of sex, and a new effect of athletic ability, respectively, in TL (p = 0.014 and p < 0.001), IQR (p = 0.008 and p < 0.001), V (p = 0.034 and p = 0.002), and SE (p = 0.033 and p < 0.001). Further analysis revealed that, for recreational athletes, females exhibited weaker corrective actions and greater stochasticity than males as per their greater mean values of TL (p = 0.003), IQR (p = 0.018), V (p = 0.017), and SE (p = 0.025). Importantly, sex differences disappeared in elite athletes. These results provide an empirical link between sex, athletic ability, and nonlinear dynamical control. This is a first step in understanding the sensorimotor mechanisms for control of unstable foot–ground interactions. Given that females suffer a greater incidence of non-contact knee ligament injuries, these non-invasive and practical metrics of leg dexterity may be both indicators of athletic ability, and predictors of risk of injury.","Lawrence EL, Peppoloni L, Valero-Cuevas FJ","@article{LAWRENCE20171,
title = {Sex differences in leg dexterity are not present in elite athletes},
journal = {Journal of Biomechanics},
volume = {63},
number = {Supplement C},
pages = {1 - 7},
year = {2017},
issn = {0021-9290},
author = {Emily L. Lawrence and Lorenzo Peppoloni and Francisco J. Valero-Cuevas}
}",2017,Journal of Biomechanics,,biomechanics,
Finger movements are mainly represented by a linear transformation of energy in band-specific ECoG signals,Papers/ieeeecog2017.pdf,"Electrocardiogram (ECoG) recordings are very attractive for Brain Machine Interface (BMI) applications due to their balance between good signal to noise ratio and minimal invasiveness. The design of ECoG signal decoders is an open research area to date which requires a better understanding of the nature of these signals and how information is encoded in them. In this study, a linear and a non-linear method, Linear Regression Model (LRM) and Artificial Neural Network (ANN) respectively, were used to decode finger movements from energy in band-specific ECoG signals. It is shown that the ANN only slightly outperformed the LRM, which suggests that finger movements are mainly represented by a linear transformation of energy in band-specific ECoG signals. In addition, comparing our results to similar Electroencephalogram (EEG) studies illustrated that the spatio-temporal summation of multiple neural signals is itself linearly correlated with movement, and is not an artifact introduced by the scalp or cranium. Furthermore, a new algorithm was employed to reduce the number of spectral features of the input signals required for either of the decoding methods.","Marjaninejad A, Taherian B, Valero-Cuevas FJ","@inproceedings{marjaninejad2017finger,
title={Finger movements are mainly represented by a linear transformation of energy in band-specific ECoG signals},
author={Marjaninejad, Ali and Taherian, Babak and Valero-Cuevas, Francisco J},
booktitle={Engineering in Medicine and Biology Society (EMBC), 2017 39th Annual International Conference of the IEEE},
pages={986--989},
year={2017},
organization={IEEE}
}",2017,"39th Annual International Conference of the IEEE, Engineering in Medicine and Biology Society (EMBC)",https://github.com/marjanin/Ali-Marjaninejad-et.-al.-2017-code,neuroscience computation_and_modeling robotics ,
Intermuscular coherence reflects functional coordination,Papers/laine2017intermuscular.pdf,"Coherence analysis has the ability to identify the presence of common descending drive shared by motor unit pools, and reveals its spectral properties. However, the link between spectral properties of shared neural drive and functional interactions among muscles remains unclear. We assessed shared neural drive between muscles of the thumb and index finger while participants executed two mechanically distinct precision pinch tasks, each requiring distinct functional coordination among muscles. We found that shared neural drive was systematically reduced or enhanced at specific frequencies of interest (~10 and ~40 Hz). While amplitude correlations between surface EMG signals also exhibited changes across tasks, only their coherence has strong physiological underpinnings indicative of neural binding. Our results support the use of intermuscular coherence as a tool to detect when co-activated muscles are members of a functional group or synergy of neural origin. Further, our results demonstrate the advantages of considering neural binding at 10, ~20, and >30 Hz, as indicators of task dependent neural coordination strategies.","Laine CM, Valero-Cuevas FJ","@article{laine2017intermuscular,
title={Intermuscular coherence reflects functional coordination},
author={Laine, Christopher M and Valero-Cuevas, Francisco J},
journal={Journal of Neurophysiology},
volume={118},
number={3},
pages={1775--1783},
year={2017},
publisher={Am Physiological Soc}
}",2017,Journal of Neurophysiology,,"neuroscience computation_and_modeling robotics
clinical_research biomechanics manipulation",
On Neuromechanical Approaches for the Study of Biological and Robotic Grasp and Manipulation,Papers/neuromechanical_approaches.pdf,"Biological and robotic grasp and manipulation are undeniably similar at the level of mechanical task performance. However, their underlying fundamental biological vs. engineering mechanisms are, by definition, dramatically different and can even be antithetical. Even our approach to each is diametrically opposite: inductive science for the study of biological systems vs. engineering synthesis for the design and construction of robotic systems. The past 20 years have seen several conceptual advances in both fields and the quest to unify them. Chief among them is the reluctant recognition that their underlying fundamental mechanisms may actually share limited common ground, while exhibiting many fundamental differences. This recognition is particularly liberating because it allows us to resolve and move beyond multiple paradoxes and contradictions that arose from the initial reasonable assumption of a large common ground. Here, we begin by introducing the perspective of neuromechanics, which emphasizes that real-world behavior emerges from the intimate interactions among the physical structure of the system, the mechanical requirements of a task, the feasible neural control actions to produce it, and the ability of the neuromuscular system to adapt through interactions with the environment. This allows us to articulate a succinct overview of a few salient conceptual paradoxes and contradictions regarding under-determined vs. over-determined mechanics, under- vs. over-actuated control, prescribed vs. emergent function, learning vs. implementation vs. adaptation, prescriptive vs. descriptive synergies, and optimal vs. habitual performance. We conclude by presenting open questions and suggesting directions for future research. We hope this frank and open-minded assessment of the state-of-the-art will encourage and guide these communities to continue to interact and make progress in these important areas at the interface of neuromechanics, neuroscience, rehabilitation and robotics.","Valero-Cuevas FJ, Santello M","@article{valero2017neuromechanical,
  title={On neuromechanical approaches for the study of biological and robotic grasp and manipulation},
  author={Valero-Cuevas, Francisco J and Santello, Marco},
  journal={Journal of NeuroEngineering and Rehabilitation},
  volume={14},
  number={1},
  pages={101},
  year={2017},
  publisher={BioMed Central}
}
",2017,Journal of NeuroEngineering and Rehabilitation,,neuroscience computation_and_modeling robotics biomechanics manipulation,
Similar movements are associated with drastically different muscle contraction velocities,Papers/Hagen2017Similar.pdf,"We investigated how kinematic redundancy interacts with the neurophysiological control mechanisms required for smooth and accurate, rapid limb movements. Biomechanically speaking, tendon excursions are over-determined because the rotation of few joints determines the lengths and velocities of many muscles. But how different are the muscle velocity profiles induced by various, equally valid hand trajectories? We used an 18-muscle sagittal-plane arm model to calculate 100,000 feasible shoulder, elbow, and wrist joint rotations that produced valid basketball free throws with different hand trajectories, but identical initial and final hand positions and velocities. We found large differences in the eccentric and concentric muscle velocity profiles across many trajectories; even among similar trajectories. These differences have important consequences to their neural control because each trajectory will require unique, time-sensitive reflex modulation strategies. As Sherrington mentioned a century ago, failure to appropriately silence the stretch reflex of any one eccentrically contracting muscle will disrupt movement. Thus, trajectories that produce faster or more variable eccentric contractions will require more precise timing of reflex modulation across motoneuron pools; resulting in higher sensitivity to time delays, muscle mechanics, excitation/contraction dynamics, noise, errors and perturbations. By combining fundamental concepts of biomechanics and neuroscience, we propose that kinematic and muscle redundancy are, in fact, severely limited by the need to regulate reflex mechanisms in a task-specific and time-critical way. This in turn has important consequences to the learning and execution of accurate, smooth and repeatable movements—and to the rehabilitation of everyday limb movements in developmental and neurological conditions, and stroke.","Hagen DA, Valero-Cuevas FJ","@article{hagen2017similar,
title={Similar movements are associated with drastically different muscle contraction velocities},
author={Hagen, Daniel A and Valero-Cuevas, Francisco J},
journal={Journal of Biomechanics},
year={2017},
publisher={Elsevier}
}",2017,Journal of Biomechanics,Papers/Hagen2017SimilarInPress.pdf,neuroscience computation_and_modeling robotics biomechanics,
"Forearm flexor muscles in children with cerebral palsy are weak, thin and stiff. ",Papers/2017WaldenFrontiers.pdf,"Children with cerebral palsy (CP) often develop reduced passive range of motion with age. The determining factor underlying this process is believed to be progressive development of contracture in skeletal muscle that likely changes the biomechanics of the joints. Consequently, to identify the underlying mechanisms, we modeled the mechanical characteristics of the forearm flexors acting across the wrist joint. We investigated skeletal muscle strength (Grippit®) and passive stiffness and viscosity of the forearm flexors in 15 typically developing (TD) children (10 boys/5 girls, mean age 12 years, range 8–18 yrs) and nine children with CP Nine children (6 boys/3 girls, mean age 11 ± 3 years (yrs), range 7–15 yrs) using the NeuroFlexor® apparatus. The muscle stiffness we estimate and report is the instantaneous mechanical response of the tissue that is independent of reflex activity. Furthermore, we assessed cross-sectional area of the flexor carpi radialis (FCR) muscle using ultrasound. Age and body weight did not differ significantly between the two groups. Children with CP had a significantly weaker (−65%, p < 0.01) grip and had smaller cross-sectional area (−43%, p < 0.01) of the FCR muscle. Passive stiffness of the forearm muscles in children with CP was increased 2-fold (p < 0.05) whereas viscosity did not differ significantly between CP and TD children. FCR cross-sectional area correlated to age (R2 = 0.58, p < 0.01), body weight (R2 = 0.92, p < 0.0001) and grip strength (R2 = 0.82, p < 0.0001) in TD children but only to grip strength (R2 = 0.60, p < 0.05) in children with CP. We conclude that children with CP have weaker, thinner, and stiffer forearm flexors as compared to typically developing children.","Von Walden F, Jalaleddini K, Evertsson B, Friberg J, Valero-Cuevas FJ, Ponten E.","@article{von2017forearm,
  title={Forearm flexor muscles in children with cerebral palsy are weak, thin and stiff},
  author={Von Walden, Ferdinand and Jalaleddini, Kian and Evertsson, Bj{\&#34;o}rn and Friberg, Johanna and Valero-Cuevas, Francisco J and Pont{\&#39;e}n, Eva},
  journal={Frontiers in computational neuroscience},
  volume={11},
  year={2017},
  publisher={Frontiers Media SA}
}",2017,"Frontiers in Physiology, 7",,computation_and_modeling clinical-research biomechanics manipulation,
Characterization of the Disruption of Neural Control Strategies for Dynamic Fingertip Forces from Attractor Reconstruction. ,Papers/2017PeppoloniPLOSOne.pdf,"The Strength-Dexterity (SD) test measures the ability of the pulps of the thumb and index finger to compress a compliant and slender spring prone to buckling at low forces (<3N). We know that factors such as aging and neurodegenerative conditions bring deteriorating physiological changes (e.g., at the level of motor cortex, cerebellum, and basal ganglia), which lead to an overall loss of dexterous ability. However, little is known about how these changes reflect upon the dynamics of the underlying biological system. The spring-hand system exhibits nonlinear dynamical behavior and here we characterize the dynamical behavior of the phase portraits using attractor reconstruction. Thirty participants performed the SD test: 10 young adults, 10 older adults, and 10 older adults with Parkinson&#34;s disease (PD). We used delayed embedding of the applied force to reconstruct its attractor. We characterized the distribution of points of the phase portraits by their density (number of distant points and interquartile range) and geometric features (trajectory length and size). We find phase portraits from older adults exhibit more distant points (p = 0.028) than young adults and participants with PD have larger interquartile ranges (p = 0.001), trajectory lengths (p = 0.005), and size (p = 0.003) than their healthy counterparts. The increased size of the phase portraits with healthy aging suggests a change in the dynamical properties of the system, which may represent a weakening of the neural control strategy. In contrast, the distortion of the attractor in PD suggests a fundamental change in the underlying biological system, and disruption of the neural control strategy. This ability to detect differences in the biological mechanisms of dexterity in healthy and pathological aging provides a simple means to assess their disruption in neurodegenerative conditions and justifies further studies to understand the link with the physiological changes.","Peppoloni L, Lawrence EL, Ruffaldi E, Valero-Cuevas FJ. ","@article{peppoloni2017characterization,
  title={Characterization of the disruption of neural control strategies for dynamic fingertip forces from attractor reconstruction},
  author={Peppoloni, Lorenzo and Lawrence, Emily L and Ruffaldi, Emanuele and Valero-Cuevas, Francisco J},
  journal={PloS one},
  volume={12},
  number={2},
  pages={e0172025},
  year={2017},
  publisher={Public Library of Science}
}",2017,"PLoS ONE, 12(2)",,neuroscience clinical_research biomechanics manipulation,
Beta Band Corticomuscular Drive Reflects Muscle Coordination Strategies. ,Papers/2017ReyesFrontiers.pdf,"During force production, hand muscle activity is known to be coherent with activity in primary motor cortex, specifically in the beta-band (15–30 Hz) frequency range. It is not clear, however, if this coherence reflects the control strategy selected by the nervous system for a given task, or if it instead reflects an intrinsic property of cortico-spinal communication. Here, we measured corticomuscular and intermuscular coherence between muscles of index finger and thumb while a two-finger pinch grip of identical net force was applied to objects which were either stable (allowing synergistic activation of finger muscles) or unstable (requiring individuated finger control). We found that beta-band corticomuscular coherence with the first dorsal interosseous (FDI) and abductor pollicis brevis (APB) muscles, as well as their beta-band coherence with each other, was significantly reduced when individuated control of the thumb and index finger was required. We interpret these findings to show that beta-band coherence is reflective of a synergistic control strategy in which the cortex binds task-related motor neurons into functional units.","Reyes A, Laine CM, Kutch JJ, Valero-Cuevas FJ.","@article{reyes2017beta,
  title={Beta Band Corticomuscular Drive Reflects Muscle Coordination Strategies},
  author={Reyes, Alexander and Laine, Christopher M and Kutch, Jason J and Valero-Cuevas, Francisco J},
  journal={Frontiers in computational neuroscience},
  volume={11},
  year={2017},
  publisher={Frontiers Media SA}
}",2017,"Frontiers in Computational Neuroscience, 11",,neuroscience motor_control clinical_research,
